ID,Type,Sigma,SMILES
B42,m,0,O=C(O)c1cccc([As](=O)([O-])O)c1
B64,m,0.51,O=C(O)c1cccc(C(=O)Cl)c1
B103,m,0.29,O=C(O)c1cccc(C(F)F)c1
B55,m,0.06,O=C(O)c1cccc(P)c1
B72,m,0.39,O=C(O)c1cccc([Hg]SC(F)(F)F)c1
B16,m,0.34,O=C(O)c1cccc([Hg]F)c1
B268,m,0.41,CN(C(=O)C(F)(F)F)c1cccc(C(=O)O)c1
B436,m,0.37,CC(C)P(=O)(c1cccc(C(=O)O)c1)C(C)C
B299,m,0,C[Ge](C)(C)c1cccc(C(=O)O)c1
B456,m,-0.08,O=C(O)c1cccc(Cc2ccccc2)c1
B257,m,0.45,O=C(O)c1cccc(SC(F)(F)C(F)(F)C(F)(F)F)c1
B244,m,0.01,C[SiH](C)c1cccc(C(=O)O)c1
B211,m,0.21,CC(=O)Nc1cccc(C(=O)O)c1
B77,m,0.81,O=C(O)c1cccc([Se](=O)C(F)(F)F)c1
B89,m,0.27,O=C=Nc1cccc(C(=O)O)c1
B147,m,0.5,COS(=O)c1cccc(C(=O)O)c1
B466,m,0.14,O=C(O)c1cccc(C#Cc2ccccc2)c1
B464,m,-0.02,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)c1cccc(C(=O)O)c1
B159,m,0.5,O=C(O)c1cccc([Hg]OC(=O)C(F)(F)F)c1
B34,m,1.76,N#[N+]c1cccc(C(=O)O)c1
B144,m,0.52,CS(=O)c1cccc(C(=O)O)c1
B141,m,0.22,NC(=S)Nc1cccc(C(=O)O)c1
B190,m,0.32,O=C(O)c1cccc(C=C[N+](=O)[O-])c1
B349,m,-0.1,CC(C)(C)c1cccc(C(=O)O)c1
B292,m,0.3,CCNC(=S)Nc1cccc(C(=O)O)c1
B524,m,0.05,O=C(O)c1cccc([Ge](c2ccccc2)(c2ccccc2)c2ccccc2)c1
B393,m,-0.16,C[Si](C)(C)CCc1cccc(C(=O)O)c1
B458,m,0.05,COc1ccc(-c2cccc(C(=O)O)c2)cc1
B364,m,0.1,CCP(CC)c1cccc(C(=O)O)c1
B33,m,0.55,O=C(O)c1cccc(O[N+](=O)[O-])c1
B108,m,0.72,N=S(=O)(c1cccc(C(=O)O)c1)C(F)(F)F
B15,m,0.34,O=C(O)c1cccc(F)c1
B192,m,0.12,N#CSCc1cccc(C(=O)O)c1
B413,m,0.25,O=C(O)c1cccc(-c2ccc([N+](=O)[O-])cc2)c1
B474,m,0.07,CCc1ccc(-c2cccc(C(=O)O)c2)cc1
B255,m,0.92,O=C(O)c1cccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)c1
B30,m,0.68,O=C(O)c1cccc(I(=O)=O)c1
B19,m,0.85,O=C(O)c1cccc(I(F)F)c1
B212,m,0.35,CNC(=O)c1cccc(C(=O)O)c1
B407,m,0.15,O=C(O)c1cccc(-c2cccc(F)c2)c1
B352,m,-0.08,CCCCc1cccc(C(=O)O)c1
B439,m,0,CC[Ge](CC)(CC)c1cccc(C(=O)O)c1
B356,m,0.22,CC[As](CC)c1cccc(C(=O)O)c1
B100,m,0.31,O=C(O)c1cccc(C(Br)Br)c1
B273,m,-0.11,C=CCc1cccc(C(=O)O)c1
B323,m,0.97,N#CC(C#N)(C#N)c1cccc(C(=O)O)c1
B317,m,0.55,O=C(O)c1cccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1
B79,m,1.08,O=C(O)c1cccc([Se](=O)(=O)C(F)(F)F)c1
B37,m,0.37,[N-]=[N+]=Nc1cccc(C(=O)O)c1
B379,m,0.23,O=C(O)c1cccc(-c2cccnc2)c1
B329,m,0.28,O=C(O)c1cccc(-c2cccnn2)c1
B153,m,0.1,C[Se]c1cccc(C(=O)O)c1
B480,m,0.31,CC(C)(C)P(=O)(c1cccc(C(=O)O)c1)C(C)(C)C
B513,m,0.12,CN1c2ccccc2[As](c2cccc(C(=O)O)c2)c2ccccc21
B399,m,0.28,O=C(O)c1cccc(NP(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1
B83,m,0.28,N#C[Hg]c1cccc(C(=O)O)c1
B101,m,0.31,O=C(O)c1cccc(C(Cl)Cl)c1
B136,m,0.29,C[Si](F)(F)c1cccc(C(=O)O)c1
B377,m,0.22,O=Cc1ccc(-c2cccc(C(=O)O)c2)o1
B380,m,0.27,O=C(O)c1cccc(-c2ccncc2)c1
B155,m,-0.03,NCc1cccc(C(=O)O)c1
B428,m,0.16,O=C(O)c1cccc(NS(=O)(=O)c2ccccc2)c1
B25,m,1.07,O=C(O)c1cccc(I(F)(F)(F)F)c1
B39,m,-0.02,O=C(O)c1cccc(S(=O)[O-])c1
