ID,Type,Sigma,SMILES
A438,p,0.5,CCCOP(=O)(OCCC)c1ccc(C(=O)O)cc1
A319,p,1.13,O=C(O)c1ccc(S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1
A18,p,0.91,O=C(O)c1ccc(S(=O)(=O)F)cc1
A175,p,0.23,C#Cc1ccc(C(=O)O)cc1
A68,p,0.7,O=C(O)c1ccc(C(=O)F)cc1
A443,p,0,CC[Sn](CC)(CC)c1ccc(C(=O)O)cc1
A234,p,0.49,CS(=O)(=O)N(c1ccc(C(=O)O)cc1)S(C)(=O)=O
A241,p,0.9,C[S+](C)c1ccc(C(=O)O)cc1
A239,p,0.53,COP(=O)(OC)c1ccc(C(=O)O)cc1
A379,p,0.25,O=C(O)c1ccc(-c2cccnc2)cc1
A355,p,-0.04,COC(OC)(OC)c1ccc(C(=O)O)cc1
A321,p,0.53,O=C(O)c1ccc(C(SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)cc1
A483,p,0.15,CC(C)(C)P(c1ccc(C(=O)O)cc1)C(C)(C)C
A235,p,0.09,CN(C)Sc1ccc(C(=O)O)cc1
A25,p,1.15,O=C(O)c1ccc(I(F)(F)(F)F)cc1
A148,p,0.72,CS(=O)(=O)c1ccc(C(=O)O)cc1
A255,p,1.09,O=C(O)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1
A4,p,0.57,O=C(O)c1ccc([Si](Br)(Br)Br)cc1
A350,p,-0.12,CCC(C)c1ccc(C(=O)O)cc1
A217,p,0.4,NC(=S)N/N=C/c1ccc(C(=O)O)cc1
A178,p,1,O=C(O)c1ccc(/C=N/S(=O)(=O)C(F)(F)F)cc1
A509,p,0.38,O=C(O)c1ccc(-c2cc(=O)c3ccc4ccccc4c3o2)cc1
A405,p,0.1,O=C(O)c1ccc(-c2cccc(Cl)c2)cc1
A40,p,0.35,O=C(O)c1ccc(S(=O)(=O)[O-])cc1
A410,p,0.06,O=C(O)c1ccc(-c2cccc(I)c2)cc1
A203,p,0.45,COC(=O)c1ccc(C(=O)O)cc1
A451,p,-0.55,O=C(O)c1ccc(/N=C/c2ccccc2)cc1
A332,p,0.63,O=C(O)c1ccc(-c2ccncn2)cc1
A529,p,0.02,O=C(O)c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
A117,p,0.42,O=Cc1ccc(C(=O)O)cc1
A334,p,0.39,O=C(O)c1ccc(-c2cncnc2)cc1
A125,p,0.11,O=C(O)c1ccc(CI)cc1
A205,p,0.2,C=CSc1ccc(C(=O)O)cc1
A457,p,0.31,Cc1ccc(O)c(/N=N/c2ccc(C(=O)O)cc2)c1
A196,p,0.4,CC(=O)O[Hg]c1ccc(C(=O)O)cc1
A190,p,0.26,O=C(O)c1ccc(C=C[N+](=O)[O-])cc1
A524,p,0.08,O=C(O)c1ccc([Ge](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
A243,p,0.17,[NH3+]CCc1ccc(C(=O)O)cc1
A463,p,-0.16,CCCCCCCc1ccc(C(=O)O)cc1
A95,p,1.03,N#CN=Nc1ccc(C(=O)O)cc1
A147,p,0.54,COS(=O)c1ccc(C(=O)O)cc1
A480,p,0.41,CC(C)(C)P(=O)(c1ccc(C(=O)O)cc1)C(C)(C)C
A127,p,0.36,NC(=O)c1ccc(C(=O)O)cc1
A388,p,-0.17,CC(C)(C)Cc1ccc(C(=O)O)cc1
A479,p,0.58,Cc1cc(C)[n+](-c2ccc(C(=O)O)cc2)c(C)c1
A280,p,0.12,C=CCSc1ccc(C(=O)O)cc1
A84,p,0.66,N#Cc1ccc(C(=O)O)cc1
