ID,Type,Sigma,SMILES
B478,m,0.65,Cc1ccc(S(=O)(=O)/N=S(\C)c2cccc(C(=O)O)c2)cc1
A169,p,0.53,O=C(O)c1ccc(N(C(F)(F)F)C(F)(F)F)cc1
B237,m,1.17,Cn1c2cc(C(=O)O)ccc2n[n+]1C
B295,m,-0.12,CC(O)Cc1cccc(C(=O)O)c1
B115,m,0.45,O=C(O)c1cccc(-n2nnnc2S)c1
B322,m,0.49,O=C(O)c1cccc([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1
B368,m,-0.04,C[Si](C)(C)OCc1cccc(C(=O)O)c1
A432,p,-0.08,O=C(O)c1ccc(C2=CCCCC2)cc1
B43,c,0,O=C(O)c1ccccc1
A33,p,0.7,O=C(O)c1ccc(O[N+](=O)[O-])cc1
A154,p,-0.7,CNc1ccc(C(=O)O)cc1
A124,p,0.2,O=C(O)c1ccc(SCF)cc1
A301,p,0.43,C[NH+](C)Cc1ccc(C(=O)O)cc1
A76,p,0.69,O=C(O)c1ccc(S(=O)C(F)(F)F)cc1
A201,p,0.44,CC(=O)Sc1ccc(C(=O)O)cc1
B53,m,0.53,NS(=O)(=O)c1cccc(C(=O)O)c1
A199,p,-0.09,C=COc1ccc(C(=O)O)cc1
B445,m,-0.04,CN(C)[Si](c1cccc(C(=O)O)c1)(N(C)C)N(C)C
A233,p,0.65,CN(C)S(=O)(=O)c1ccc(C(=O)O)cc1
B240,m,0.03,CP(C)c1cccc(C(=O)O)c1
A408,p,0.06,O=C(O)c1ccc(-c2ccc(F)cc2)cc1
B321,m,0.51,O=C(O)c1cccc(C(SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)c1
B259,m,0.46,O=C(O)c1cccc([Te]C(F)(F)C(F)(F)C(F)(F)F)c1
A198,p,0.03,O=C(O)c1ccc(C2CO2)cc1
B424,m,0.62,O=C(O)c1cccc(S(=O)(=O)c2ccccc2)c1
B340,m,0.47,O=C(O)c1cccc(-n2cccc2)c1
B303,m,0.13,C[Si](C)(C)Oc1cccc(C(=O)O)c1
A231,p,-0.83,CN(C)c1ccc(C(=O)O)cc1
B160,m,0.63,O=C(O)c1cccc(C(=O)C(F)(F)F)c1
B410,m,0.13,O=C(O)c1cccc(-c2cccc(I)c2)c1
B442,m,0.99,CC[P+](CC)(CC)c1cccc(C(=O)O)c1
B353,m,0.1,CCCCOc1cccc(C(=O)O)c1
A229,p,0.17,C[Si](C)(F)c1ccc(C(=O)O)cc1
A214,p,0.07,NC(=O)Cc1ccc(C(=O)O)cc1
A328,p,0.46,O=C(O)c1ccc(N2C(=O)CC(Cl)C2=O)cc1
B511,m,0.17,O=C(O)c1cccc(-c2nc3ccccc3n2-c2ccccc2)c1
A352,p,-0.16,CCCCc1ccc(C(=O)O)cc1
A123,p,0.02,O=C(O)c1ccc(OCF)cc1
A193,p,-0.04,C=Cc1ccc(C(=O)O)cc1
B294,m,0.1,CCCOc1cccc(C(=O)O)c1
B69,c,0.36,O=C(O)c1ccc2c(c1)OC(F)(F)O2
A133,p,-0.17,Cc1ccc(C(=O)O)cc1
B433,m,-0.05,O=C(O)c1cccc(C2CCCCC2)c1
B139,m,-0.03,NC(=O)Nc1cccc(C(=O)O)c1
A441,p,0.08,CCO[Si](OCC)(OCC)c1ccc(C(=O)O)cc1
B270,m,-0.07,O=C(O)c1cccc(C2CC2)c1
B102,m,0.38,O=C(O)c1cccc(OC(Cl)Cl)c1
B471,m,-0.07,COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1
A260,p,0.3,O=C(O)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
B241,m,1,C[S+](C)c1cccc(C(=O)O)c1
B49,m,0.25,O=C(O)c1cccc(S)c1
B131,m,0.59,NC(=O)N=[N+]([O-])c1cccc(C(=O)O)c1
A223,p,0.01,COCc1ccc(C(=O)O)cc1
A354,p,-0.17,CC(C)(O)Cc1ccc(C(=O)O)cc1
B71,m,0.29,O=C(O)c1cccc([Hg]C(F)(F)F)c1
B418,m,0.69,O=C(O)c1cccc(/[N+]([O-])=N/S(=O)(=O)c2ccccc2)c1
A516,p,0.3,Cc1ccc(P(=S)(c2ccccc2)c2ccc(C(=O)O)cc2)cc1
B12,m,0.7,O=C(O)c1cccc(P(=S)(Cl)Cl)c1
A425,p,0.33,O=C(O)c1ccc(OS(=O)(=O)c2ccccc2)cc1
B308,m,0,C[Sn](C)(C)c1cccc(C(=O)O)c1
A474,p,-0.02,CCc1ccc(-c2ccc(C(=O)O)cc2)cc1
B47,m,0.2,O=C(O)c1cccc(P(=O)([O-])O)c1
B331,m,0.6,CC(C#N)(C#N)c1cccc(C(=O)O)c1
A56,p,-0.44,O=C(O)c1ccc([B-](O)(O)O)cc1
A100,p,0.32,O=C(O)c1ccc(C(Br)Br)cc1
B521,m,0.2,Cc1ccc(P(=S)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1
A452,p,0.42,O=C(O)c1ccc(/C=N/c2ccccc2)cc1
B434,m,-0.26,CCCN(CCC)c1cccc(C(=O)O)c1
A523,p,1.18,Cc1ccc([P+](C)(c2ccc(C)cc2)c2ccc(C(=O)O)cc2)cc1
A520,p,0.3,Cc1ccc(P(=O)(c2ccc(C)cc2)c2ccc(C(=O)O)cc2)cc1
A412,p,0.2,O=C(O)c1ccc(-c2cccc([N+](=O)[O-])c2)cc1
A314,p,1.34,O=C(O)c1ccc(I(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)cc1
B177,m,0.3,O=C(O)c1cccc(NC(=O)C(F)(F)F)c1
B129,m,0.22,O=C(O)c1cccc(/C=N/O)c1
B26,m,0.63,O=C(O)c1cccc(P(F)(F)(F)F)c1
B93,m,0.51,N#CSc1cccc(C(=O)O)c1
A427,p,-0.56,O=C(O)c1ccc(Nc2ccccc2)cc1
B253,m,0.44,O=C(O)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1
A436,p,0.41,CC(C)P(=O)(c1ccc(C(=O)O)cc1)C(C)C
B391,m,0.12,CCOP(=O)(Cc1cccc(C(=O)O)c1)OCC
B200,m,0.38,CC(=O)c1cccc(C(=O)O)c1
B287,c,0,O=C(O)c1ccc2c(c1)OCCCO2
A142,p,-0.27,COc1ccc(C(=O)O)cc1
B219,m,-0.07,CCc1cccc(C(=O)O)c1
A434,p,-0.93,CCCN(CCC)c1ccc(C(=O)O)cc1
A307,p,-0.07,C[Si](C)(C)c1ccc(C(=O)O)cc1
A377,p,-0.05,O=Cc1ccc(-c2ccc(C(=O)O)cc2)o1
A359,p,-0.51,CCCCNc1ccc(C(=O)O)cc1
A209,p,0.12,CN1OC1c1ccc(C(=O)O)cc1
A278,p,0.05,CC(=O)OCc1ccc(C(=O)O)cc1
A97,p,0.82,O=C(O)c1ccc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])cc1
B514,m,0.13,Cc1ccc(P(=O)(c2ccccc2)c2cccc(C(=O)O)c2)cc1
A38,p,-0.81,O=C(O)c1ccc([O-])cc1
A512,p,-0.05,O=C(O)c1ccc(C(c2ccccc2)c2ccccc2)cc1
A17,p,0.83,O=C(O)c1ccc(S(=O)F)cc1
A261,p,0.44,O=C(O)c1ccc(C(SC(F)(F)F)SC(F)(F)F)cc1
